county,FIPS,date,case_2.5,case_50,case_97.5,death_2.5,death_50,death_97.5
Queens County NY,36081,02/21,0.00,0.00,0.00,0.00,0.00,0.00
Queens County NY,36081,02/22,0.00,0.00,0.00,0.00,0.00,0.00
Queens County NY,36081,02/23,0.00,0.00,0.00,0.00,0.00,0.00
Queens County NY,36081,02/24,0.00,0.00,0.00,0.00,0.00,0.00
Queens County NY,36081,02/25,0.00,0.00,0.00,0.00,0.00,0.00
Queens County NY,36081,02/26,0.00,0.00,1.00,0.00,0.00,0.00
Queens County NY,36081,02/27,0.00,0.00,1.00,0.00,0.00,0.00
Queens County NY,36081,02/28,0.00,0.00,1.00,0.00,0.00,0.00
Queens County NY,36081,02/29,0.00,0.00,2.00,0.00,0.00,0.00
Queens County NY,36081,03/01,0.00,0.00,2.00,0.00,0.00,0.00
Queens County NY,36081,03/02,0.00,1.00,3.00,0.00,0.00,0.00
Queens County NY,36081,03/03,0.00,1.00,4.00,0.00,0.00,0.00
Queens County NY,36081,03/04,0.00,2.00,6.00,0.00,0.00,0.00
Queens County NY,36081,03/05,0.00,3.00,7.00,0.00,0.00,0.00
Queens County NY,36081,03/06,0.00,4.00,12.00,0.00,0.00,1.00
Queens County NY,36081,03/07,1.00,6.00,14.00,0.00,0.00,1.00
Queens County NY,36081,03/08,3.00,10.00,19.00,0.00,0.00,2.00
Queens County NY,36081,03/09,9.00,17.00,28.00,0.00,0.00,3.00
Queens County NY,36081,03/10,17.00,29.00,44.00,0.00,1.00,4.00
Queens County NY,36081,03/11,34.00,47.00,75.00,0.00,1.00,5.00
Queens County NY,36081,03/12,52.00,75.00,104.00,0.00,2.00,6.00
Queens County NY,36081,03/13,84.00,111.00,143.00,0.00,3.00,8.00
Queens County NY,36081,03/14,126.00,159.00,198.00,1.00,4.00,10.00
Queens County NY,36081,03/15,172.00,217.00,264.00,2.00,6.00,11.00
Queens County NY,36081,03/16,225.00,284.00,349.00,3.00,8.00,15.00
Queens County NY,36081,03/17,292.00,370.00,460.00,5.00,10.00,18.00
Queens County NY,36081,03/18,373.00,463.00,572.00,7.00,13.00,23.00
Queens County NY,36081,03/19,469.00,583.00,704.00,11.00,16.00,27.00
Queens County NY,36081,03/20,571.00,709.00,854.00,13.00,21.00,32.00
Queens County NY,36081,03/21,684.00,854.00,1020.00,16.00,25.00,36.00
Queens County NY,36081,03/22,806.00,1011.00,1210.00,21.00,30.00,42.00
Queens County NY,36081,03/23,965.00,1181.00,1431.00,25.00,37.00,50.00
Queens County NY,36081,03/24,1105.00,1363.00,1678.00,31.00,44.00,57.00
Queens County NY,36081,03/25,1267.00,1558.00,1917.00,37.00,52.00,68.00
Queens County NY,36081,03/26,1434.00,1770.00,2161.00,48.00,62.00,79.00
Queens County NY,36081,03/27,1603.00,1994.00,2440.00,54.00,73.00,97.00
Queens County NY,36081,03/28,1788.00,2197.00,2726.00,62.00,84.00,111.00
Queens County NY,36081,03/29,1976.00,2421.00,3018.00,75.00,97.00,129.00
Queens County NY,36081,03/30,2165.00,2636.00,3310.00,82.00,111.00,144.00
Queens County NY,36081,03/31,2377.00,2898.00,3665.00,94.00,125.00,168.00
Queens County NY,36081,04/01,2574.00,3145.00,3990.00,107.00,143.00,189.00
Queens County NY,36081,04/02,2781.00,3390.00,4361.00,118.00,159.00,213.00
Queens County NY,36081,04/03,2988.00,3654.00,4707.00,135.00,178.00,237.00
Queens County NY,36081,04/04,3178.00,3952.00,5078.00,145.00,197.00,266.00
Queens County NY,36081,04/05,3376.00,4225.00,5470.00,159.00,216.00,295.00
Queens County NY,36081,04/06,3572.00,4506.00,5900.00,172.00,235.00,327.00
Queens County NY,36081,04/07,3794.00,4777.00,6347.00,192.00,258.00,362.00
Queens County NY,36081,04/08,3980.00,5057.00,6773.00,208.00,278.00,395.00
Queens County NY,36081,04/09,4192.00,5363.00,7229.00,221.00,302.00,426.00
Queens County NY,36081,04/10,4408.00,5671.00,7815.00,235.00,323.00,461.00
Queens County NY,36081,04/11,4633.00,5962.00,8359.00,257.00,346.00,492.00
Queens County NY,36081,04/12,4830.00,6256.00,8949.00,271.00,364.00,534.00
Queens County NY,36081,04/13,5036.00,6538.00,9489.00,287.00,384.00,562.00
Queens County NY,36081,04/14,5211.00,6828.00,10037.00,303.00,407.00,602.00
Queens County NY,36081,04/15,5380.00,7121.00,10581.00,321.00,427.00,645.00
Queens County NY,36081,04/16,5550.00,7401.00,11118.00,336.00,452.00,673.00
Queens County NY,36081,04/17,5710.00,7694.00,11630.00,350.00,474.00,703.00
Queens County NY,36081,04/18,5867.00,7951.00,12127.00,361.00,494.00,736.00
Queens County NY,36081,04/19,6028.00,8187.00,12635.00,371.00,513.00,776.00
Queens County NY,36081,04/20,6162.00,8407.00,13107.00,384.00,531.00,814.00
Queens County NY,36081,04/21,6294.00,8610.00,13552.00,398.00,549.00,846.00
Queens County NY,36081,04/22,6436.00,8833.00,13986.00,406.00,565.00,877.00
Queens County NY,36081,04/23,6548.00,9024.00,14386.00,413.00,580.00,919.00
Queens County NY,36081,04/24,6655.00,9205.00,14775.00,423.00,599.00,944.00
Queens County NY,36081,04/25,6767.00,9375.00,15140.00,430.00,612.00,967.00
Queens County NY,36081,04/26,6864.00,9544.00,15478.00,438.00,625.00,986.00
Queens County NY,36081,04/27,6956.00,9716.00,15807.00,445.00,640.00,1010.00
Queens County NY,36081,04/28,7047.00,9889.00,16117.00,456.00,651.00,1034.00
Queens County NY,36081,04/29,7128.00,10041.00,16433.00,463.00,665.00,1057.00
Queens County NY,36081,04/30,7190.00,10171.00,16698.00,468.00,677.00,1078.00
Queens County NY,36081,05/01,7248.00,10280.00,16995.00,475.00,691.00,1104.00
Queens County NY,36081,05/02,7303.00,10398.00,17245.00,482.00,700.00,1129.00
Queens County NY,36081,05/03,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/04,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/05,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/06,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/07,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/08,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/09,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/10,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/11,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/12,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/13,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/14,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/15,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/16,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/17,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/18,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/19,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/20,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/21,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/22,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/23,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/24,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/25,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/26,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/27,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/28,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/29,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/30,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,05/31,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,06/01,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,06/02,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,06/03,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,06/04,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,06/05,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,06/06,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,06/07,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,06/08,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,06/09,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,06/10,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,06/11,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Queens County NY,36081,06/12,7352.00,10532.00,17497.00,492.00,710.00,1145.00
Kings County NY,36047,02/21,0.00,0.00,0.00,0.00,0.00,0.00
Kings County NY,36047,02/22,0.00,0.00,0.00,0.00,0.00,0.00
